,Entity,"Proportion that talked to friends or family
when anxious/depressed (%)","Proportion that took prescribed medication
when anxious/depressed (%)","Proportion that engaged in religious/spiritual activities
when anxious/depressed (%)","Total number of psychiatrists per 100,000 population","Proportion of people very comfortable
speaking about anxiety/depression (%)","Proportion of people somewhat comfortable
speaking about anxiety/depression (%)","Proportion of people that don't know how comfortable they are
speaking about anxiety/depression (%)","Proportion of people not comfortable
speaking about anxiety/depression (%)","Proportion of people very or somewhat comfortable
speaking about anxiety/depression (%)",Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID,location_name,Proportion of people that are depressed (%),country,Individualism Score in 2023,IndividualismScore_2022
0,Albania,86.524994,40.897434,36.1776,,25.491678,38.33448,8.599926,27.573915,63.826158,,14596.016,2849643.0,,Albania,3.6641771649087898,Albania,27.0,20
1,Argentina,71.9629,37.718056,48.529037,,26.543772,42.311417,4.810892,26.33392,68.855189,,21599.797,45312283.0,,Argentina,3.54252801104534,Argentina,51.0,46
2,Australia,83.661896,71.37634,19.388412,,7.19499,60.27446,1.7620422,30.768505,67.46945,,49609.23,25956416.0,,Australia,5.43895026422076,Australia,73.0,90
3,Austria,87.92614,57.572258,33.628178,,47.740067,35.55934,4.501344,12.19925,83.299407,,53817.305,8967053.0,,Austria,4.31843446224189,Austria,77.0,55
4,Bangladesh,65.628235,18.87141,46.563572,,26.184614,30.662405,29.255962,13.897019,56.847019,,5911.013,167658855.0,,Bangladesh,5.5305400157654105,Bangladesh,5.0,20
5,Belgium,76.020325,64.07484,14.50429,,11.0023155,35.729443,5.813142,47.4551,46.7317585,,52174.906,11570842.0,,Belgium,5.0642177868043206,Belgium,81.0,75
6,Bolivia,81.56846,41.01212,47.506245,0.0,19.951153,47.748497,5.5585666,26.741785,67.69965,,8052.6,11937369.0,,Bolivia,4.35639386530364,Bolivia,23.0,10
7,Bosnia and Herzegovina,89.42567,62.897697,38.396427,,12.805407,35.223564,6.1885567,45.78247,48.028971,,15893.156,3244909.0,,Bosnia and Herzegovina,4.44247890658139,Bosnia and Herzegovina,40.0,22
8,Brazil,71.42405,44.71939,53.729458,,27.168146,44.37738,1.0116584,27.442812,71.545526,,14735.582,209550291.0,,Brazil,4.97080346618358,Brazil,36.0,38
9,Bulgaria,85.093575,41.78128,6.6898265,,19.051838,42.100044,8.420335,30.427782,61.151882,,24386.18,6877222.0,,Bulgaria,4.69967609524312,Bulgaria,50.0,30
10,Burkina Faso,81.40154,52.244404,71.650955,,26.533657,33.821262,7.5133395,32.131737,60.354919,,2176.0933,21995249.0,,Burkina Faso,3.29854907637183,Burkina Faso,15.0,15
11,Canada,84.21834,72.9736,29.156185,,8.873781,59.53319,1.4324862,30.16054,68.406971,,48356.332,38454058.0,,Canada,4.56503808207429,Canada,72.0,80
12,Chile,84.13164,61.50862,29.442854,,24.403812,41.044777,2.829471,31.721937,65.448589,,25412.752,19456323.0,,Chile,5.174265352810361,Chile,49.0,23
13,China,63.353428,32.706,18.761171,,10.248862,32.990505,23.759699,33.000927,43.239367,,17657.656,1426437276.0,,China,3.89613119007773,China,43.0,20
14,Colombia,85.64458,40.58397,59.967686,,21.957514,44.340546,2.1919575,31.50998,66.29806,,14661.213,51188174.0,,Colombia,2.81331193214652,Colombia,29.0,13
15,Costa Rica,75.73848,42.244644,55.38973,3.0,25.011768,40.742714,2.9199054,31.325611,65.754482,,21220.162,5059992.0,,Costa Rica,4.42708064852659,Costa Rica,15.0,15
16,Croatia,87.80805,70.84487,27.312744,13.0,20.000946,39.289368,8.268511,32.441177,59.290314,,32060.504,3924607.0,,Croatia,4.817405029601271,Croatia,42.0,33
17,Denmark,76.89948,52.795513,16.050905,,15.279755,53.21566,1.9319359,29.572647,68.495415,,58802.96,5856773.0,,Denmark,5.03475131420129,Denmark,89.0,74
18,Dominican Republic,89.972916,39.4342,69.43944,,22.711874,41.83298,1.902687,33.552456,64.544854,,18626.078,11123480.0,,Dominican Republic,4.40086816749388,Dominican Republic,38.0,30
19,Ecuador,87.61079,51.58834,60.168716,,21.694708,51.929554,2.2164602,24.159279,73.624262,,10668.758,17682454.0,,Ecuador,4.14693560806762,Ecuador,24.0,8
20,Egypt,72.08198,15.95659,50.724014,,56.098743,32.31345,4.5185595,7.0692477,88.412193,,12180.451,110957004.0,,Egypt,4.49111686232928,Egypt,13.0,37
21,El Salvador,83.997345,63.724495,73.4358,,22.299795,41.450153,5.548545,30.70151,63.749948,,9190.174,6255781.0,,El Salvador,4.1642261957155595,El Salvador,19.0,19
22,Estonia,74.37608,61.259014,13.352501,,4.61636,28.410734,8.194784,58.77812,33.027094,,38717.695,1331750.0,,Estonia,6.16765702802384,Estonia,62.0,60
23,Ethiopia,72.80364,28.758259,66.57121,,44.583668,34.304302,2.9142156,18.197817,78.88797,,2319.1611,122138590.0,,Ethiopia,4.025319673622,Ethiopia,7.0,20
24,Finland,85.083595,62.72813,11.135731,,6.6289506,40.220234,0.7109857,52.43983,46.8491846,,48614.82,5541068.0,,Finland,6.01717455032695,Finland,75.0,63
25,France,71.624275,74.54138,17.190386,24.0,12.134365,31.055502,2.251463,54.558666,43.189867,,44941.438,66083547.0,,France,5.59170320510264,France,74.0,71
26,Georgia,85.06311,56.773544,44.799385,,21.63062,43.36877,3.8785007,31.122108,64.99939,,15486.659,3788450.0,,Georgia,5.22243231158041,Georgia,15.0,41
27,Germany,87.444565,63.503086,12.392033,,49.547153,34.67734,5.970273,9.805233,84.224493,,53395.65,83697082.0,,Germany,5.036505780851059,Germany,79.0,67
28,Ghana,67.62067,26.98448,57.636757,,14.284058,27.730698,11.936557,46.048683,42.014756,,5420.792,32518662.0,,Ghana,4.02712229250545,Ghana,9.0,15
29,Greece,77.88381,41.507545,27.453985,,8.805214,38.586918,2.5855963,50.022278,47.392132,,29630.93,10579561.0,,Greece,7.593370907764239,Greece,59.0,35
30,Hungary,70.5068,45.364056,26.657217,,16.0622,35.247345,6.482549,42.20791,51.309545,,33583.785,9707848.0,,Hungary,4.6113395981115195,Hungary,71.0,80
31,India,82.82279,56.84162,46.679382,,42.248962,26.26446,14.759226,16.727356,68.513422,,6677.185,1414203889.0,,India,4.50600256670437,India,24.0,48
32,Indonesia,84.52044,45.8359,72.98657,,26.980623,35.100544,5.296107,32.622726,62.081167,,11859.437,276758056.0,,Indonesia,3.0941532561418397,Indonesia,5.0,14
33,Iran,79.12761,45.45148,56.264618,2.0,28.924173,53.184757,3.468234,14.422836,82.10893,,15004.6875,88455491.0,,Iran,6.32007870798388,Iran,23.0,41
34,Iraq,76.73829,32.616188,30.957253,,58.25895,29.698221,2.727997,9.31483,87.957171,,8786.582,43071210.0,,Iraq,4.40383032311206,Iraq,25.0,31
35,Ireland,82.88917,63.34675,59.227043,8.0,9.812321,57.44538,2.0887282,30.653572,67.257701,,104671.875,5028430.0,,Ireland,5.9096655565136995,Ireland,58.0,70
36,Italy,85.10426,62.11947,37.18426,,21.366873,49.30796,2.8994777,26.42569,70.674833,,42562.555,59729354.0,,Italy,5.54438376741347,Italy,53.0,76
37,Jordan,67.017586,28.47173,31.091248,1.0,60.667377,29.815338,2.492077,7.025207,90.482715,,9380.045,11066358.0,,Jordan,4.75790151007646,Jordan,20.0,30
38,Kazakhstan,70.82149,59.524925,36.446976,,21.04929,44.70737,12.816702,21.426638,65.75666,,26110.53,19743607.0,,Kazakhstan,4.23375527215418,Kazakhstan,20.0,20
39,Kenya,87.82827,54.098003,78.93723,,31.118677,34.414005,0.95247984,33.51484,65.532682,,4745.637,53219165.0,,Kenya,4.36567623475989,Kenya,4.0,25
40,Latvia,73.28339,42.87858,16.857319,,8.102485,32.954327,14.410187,44.533005,41.056812,,31833.842,1885592.0,,Latvia,6.46085068179392,Latvia,70.0,70
41,Lebanon,60.212986,28.97568,21.962563,,33.557354,37.092125,11.269763,18.080757,70.649479,,12986.913,5718127.0,,Lebanon,6.90620756452875,Lebanon,27.0,43
42,Malaysia,82.908806,27.11038,68.6238,,14.158347,41.80394,4.753365,39.284344,55.962287,,26407.316,34282405.0,,Malaysia,4.03297290434935,Malaysia,27.0,26
43,Malta,82.68385,61.17238,27.663393,7.0,15.609123,34.112934,6.135066,44.14287,49.722057,,46598.96,524383.0,,Malta,4.376818799887619,Malta,59.0,59
44,Mexico,78.055336,43.40719,47.55565,,19.028091,45.827972,2.9254713,32.218464,64.856063,,19617.76,127648152.0,,Mexico,4.84326430343524,Mexico,34.0,30
45,Moldova,84.50433,53.4431,47.82065,,15.799915,36.672848,8.36175,39.16549,52.472763,,13703.939,3023780.0,,Moldova,5.24272461656491,Moldova,27.0,27
46,Mongolia,79.32224,35.463108,24.021748,,17.31226,48.45552,5.515141,28.71708,65.76778,,11668.431,3339678.0,,Mongolia,4.31418965513365,Mongolia,37.0,65
47,Morocco,73.616425,30.475817,28.363049,,55.639908,23.061222,15.465333,5.833535,78.70113,,8065.986,36954442.0,,Morocco,6.53606191811306,Morocco,24.0,46
48,Nepal,83.74065,37.241043,36.396072,,31.990816,49.90607,5.29038,12.812736,81.896886,,3853.6802,29475018.0,,Nepal,5.88520877818272,Nepal,30.0,30
49,Netherlands,82.921455,49.164993,12.731266,,19.575184,53.504307,1.518021,25.402487,73.079491,,57334.703,17730564.0,,Netherlands,5.1749659336598395,Netherlands,100.0,80
50,New Zealand,75.589424,69.73122,23.603004,,7.616393,57.034107,4.095071,31.254427,64.6505,,44041.902,5107696.0,,New Zealand,4.244339649460651,New Zealand,69.0,79
51,Nigeria,81.09143,43.29604,79.61398,,11.506056,39.891903,8.298115,40.30393,51.397959,,4922.6323,218529285.0,,Nigeria,2.85215318582552,Nigeria,,30
52,North Macedonia,84.93578,52.5816,36.47355,,19.263893,31.62692,9.234596,39.874588,50.890813,,16708.598,1851109.0,,North Macedonia,4.14018450664766,North Macedonia,40.0,22
53,Norway,75.18707,45.256138,14.538441,,9.8570595,50.22639,2.1873496,37.7292,60.0834495,,65915.53,5408081.0,,Norway,5.112116471247321,Norway,81.0,69
54,Paraguay,76.89931,42.035915,59.636852,,18.502247,40.165268,7.695317,33.63717,58.667515,,13676.391,6684184.0,,Paraguay,4.01508225606746,Paraguay,12.0,12
55,Peru,84.922966,54.38118,56.20702,,25.913599,50.25336,1.0470331,22.786009,76.166959,,12533.842,33155883.0,,Peru,2.84022232555629,Peru,20.0,16
56,Philippines,94.9963,41.717888,49.365623,,28.208256,42.651817,0.62627137,28.513657,70.860073,,8095.5796,113100946.0,,Philippines,3.4076869433329797,Philippines,17.0,32
57,Poland,84.898705,68.5301,27.881594,,17.411058,45.219593,2.160439,35.20891,62.630651,,34944.04,38040304.0,,Poland,3.4595715903996895,Poland,47.0,60
58,Portugal,78.639946,67.66625,32.367702,,24.664425,35.54384,5.605133,34.1866,60.208265,,33636.44,10390956.0,,Portugal,7.1383343343515495,Portugal,59.0,27
59,Romania,83.580925,42.768414,44.47758,,19.265442,32.635098,13.709916,34.389545,51.90054,,30946.277,19248159.0,,Romania,4.22916863971911,Romania,46.0,30
60,Russia,72.52477,41.115032,17.541325,,9.941295,50.387234,3.9582176,35.713253,60.328529,,28057.031,145836172.0,,Russia,4.8697423972469,Russia,46.0,39
61,Saudi Arabia,68.85982,16.64432,,3.0,49.74626,38.46969,4.32543,7.458618,88.21595,,46768.434,31328374.0,,Saudi Arabia,5.46867019902092,Saudi Arabia,48.0,48
62,Senegal,73.58441,57.25855,66.859535,,23.88905,27.912539,7.138096,41.060318,51.801589,,3511.6375,17220866.0,,Senegal,3.64839430469224,Senegal,25.0,25
63,Slovakia,84.32788,51.572186,26.909904,,24.664183,48.59733,6.263139,20.47535,73.261513,,32512.695,5442767.0,,Slovakia,4.38416273791248,Slovakia,57.0,52
64,South Africa,83.09552,47.996967,62.38304,,21.583582,31.156857,11.646056,35.613506,52.740439,,13337.79,61502601.0,,South Africa,5.55614026460379,South Africa,23.0,65
65,South Korea,58.99228,46.21585,18.567822,8.0,9.0005245,43.83575,2.651395,44.512325,52.8362745,,44299.91,51848401.0,,South Korea,2.98021148092639,South Korea,58.0,18
66,Spain,87.31633,72.852615,18.188236,,22.522491,40.443344,2.839818,34.194344,62.965835,,38319.29,47735670.0,,Spain,6.6450847566433895,Spain,67.0,51
67,Sri Lanka,84.744804,44.99341,79.540665,,28.208971,46.69289,10.244259,14.853881,74.901861,,13250.63,22700377.0,,Sri Lanka,3.76595370093301,Sri Lanka,35.0,35
68,Sweden,90.40839,59.277653,9.442642,,15.146934,61.15222,2.303258,21.397581,76.299154,,54160.367,10416136.0,,Sweden,5.88952986676814,Sweden,87.0,71
69,Switzerland,75.75294,72.21736,20.070494,,34.36771,41.721153,6.678316,17.23282,76.088863,,71044.87,8707018.0,,Switzerland,5.77042960654314,Switzerland,79.0,68
70,Tanzania,80.421844,44.095016,58.527775,,34.58113,43.94773,3.5071263,17.96401,78.52886,,2584.3977,62830413.0,,Tanzania,4.04279444685297,Tanzania,25.0,25
71,Thailand,81.801636,48.773006,48.769737,,31.828373,37.811977,9.18903,21.170624,69.64035,,17087.21,71727340.0,,Thailand,4.09937570423902,Thailand,19.0,20
72,Tunisia,67.43499,29.997808,28.068096,,46.760735,38.499977,5.671742,9.067545,85.260712,,10395.913,12048625.0,,Tunisia,7.567734222415059,Tunisia,27.0,40
73,Turkey,74.642845,48.557346,28.25184,2.0,13.326519,40.486267,3.1891642,42.998055,53.812786,,31722.16,86686255.0,,Turkey,5.31732179396034,Turkey,46.0,37
74,Ukraine,68.07142,34.739998,27.202133,,11.792821,45.21756,9.176279,33.81334,57.010381,,12949.326,44298641.0,,Ukraine,6.48050644791124,Ukraine,55.0,25
75,United Arab Emirates,79.77137,29.405935,49.15984,,39.16091,37.03574,6.6675715,17.135777,76.19665,,70028.02,9789054.0,,United Arab Emirates,5.55859650909275,United Arab Emirates,36.0,36
76,United Kingdom,72.84443,76.715744,40.922478,,8.396421,57.812916,6.161317,27.629341,66.209337,,45567.57,67668789.0,,United Kingdom,6.16357610090197,United Kingdom,76.0,89
77,United States,80.09102,67.084915,56.357536,,7.2477846,57.725986,0.8432221,34.183014,64.9737706,,63635.824,340161441.0,,United States,6.05729520905318,United States,60.0,91
78,Uruguay,80.10275,58.520935,31.846924,,21.92993,43.157642,1.6005524,33.311874,65.087572,,23257.256,3396692.0,,Uruguay,4.338209245703379,Uruguay,60.0,36
79,Venezuela,87.47985,36.114902,54.641083,,19.484858,34.766,0.93590117,44.813244,54.250858,,,28237831.0,,Venezuela,3.9355696626070698,Venezuela,26.0,12
80,Vietnam,87.42293,47.534718,26.911486,,28.22067,20.318605,16.139744,35.320984,48.539275,,10628.22,98935101.0,,Vietnam,3.03626102431411,Vietnam,30.0,20
81,Zambia,85.21131,35.759483,77.35696,,31.303564,26.29207,4.816784,37.58758,57.595634,,3287.4204,19603610.0,,Zambia,3.7017024413009,Zambia,35.0,35
